Chunk	Job Name	Queue	Run	CHSY	SYPD	ASYPD	JPSY	Energy	Footprint
1	a3be_19900101_fc0_1_SIM	00:04:42	02:07:04	28,462.93	3.78	3.64	0	0	0
2	a3be_19900101_fc0_2_SIM	00:01:00	02:02:17	27,391.47	3.93	3.89	0	0	0
3	a3be_19900101_fc0_3_SIM	00:00:11	02:02:25	27,421.33	3.92	3.92	0	0	0
4	a3be_19900101_fc0_4_SIM	00:00:10	01:54:53	25,733.87	4.18	4.17	0	0	0
5	a3be_19900101_fc0_5_SIM	00:00:09	02:03:47	27,727.47	3.88	3.87	0	0	0
6	a3be_19900101_fc0_6_SIM	00:00:07	01:55:17	25,823.47	4.16	4.16	0	0	0
7	a3be_19900101_fc0_7_SIM	00:01:46	02:04:27	27,876.80	3.86	3.80	0	0	0
8	a3be_19900101_fc0_8_SIM	00:03:47	02:03:09	27,585.60	3.90	3.78	0	0	0
9	a3be_19900101_fc0_9_SIM	00:00:48	02:00:56	27,089.07	3.97	3.94	0	0	0
10	a3be_19900101_fc0_10_SIM	00:04:56	02:01:37	27,242.13	3.95	3.79	0	0	0
11	a3be_19900101_fc0_11_SIM	00:02:33	02:11:26	29,441.07	3.65	3.58	0	0	0
12	a3be_19900101_fc0_12_SIM	00:04:13	02:04:36	27,910.40	3.85	3.73	0	0	0
13	a3be_19900101_fc0_13_SIM	00:03:28	02:01:31	27,219.73	3.95	3.84	0	0	0
14	a3be_19900101_fc0_14_SIM	00:00:31	01:48:33	24,315.20	4.42	4.40	0	0	0
15	a3be_19900101_fc0_15_SIM	00:00:51	01:48:46	24,363.73	4.41	4.38	0	0	0
16	a3be_19900101_fc0_16_SIM	00:00:25	01:46:41	23,897.07	4.50	4.48	0	0	0
17	a3be_19900101_fc0_17_SIM	00:00:07	01:50:31	24,755.73	4.34	4.34	0	0	0
18	a3be_19900101_fc0_18_SIM	00:00:15	01:49:46	24,587.73	4.37	4.36	0	0	0
19	a3be_19900101_fc0_19_SIM	00:00:07	01:52:08	25,117.87	4.28	4.28	0	0	0
20	a3be_19900101_fc0_20_SIM	00:00:23	01:52:27	25,188.80	4.27	4.25	0	0	0
21	a3be_19900101_fc0_21_SIM	00:00:10	01:54:35	25,666.67	4.19	4.18	0	0	0
22	a3be_19900101_fc0_22_SIM	00:01:40	01:51:35	24,994.67	4.30	4.24	0	0	0
23	a3be_19900101_fc0_23_SIM	00:00:11	01:49:26	24,513.07	4.39	4.38	0	0	0
24	a3be_19900101_fc0_24_SIM	00:00:18	01:56:30	26,096.00	4.12	4.11	0	0	0
25	a3be_19900101_fc0_25_SIM	00:01:37	01:47:45	24,136.00	4.45	4.39	0	0	0
26	a3be_19900101_fc0_26_SIM	00:02:06	01:52:37	25,226.13	4.26	4.18	0	0	0
27	a3be_19900101_fc0_27_SIM	00:01:45	01:48:59	24,412.27	4.40	4.33	0	0	0
28	a3be_19900101_fc0_28_SIM	00:00:06	01:50:40	24,789.33	4.34	4.33	0	0	0
29	a3be_19900101_fc0_29_SIM	00:01:30	01:51:20	24,938.67	4.31	4.25	0	0	0
30	a3be_19900101_fc0_30_SIM	00:00:18	01:52:02	25,095.47	4.28	4.27	0	0	0
31	a3be_19900101_fc0_31_SIM	00:00:17	01:48:11	24,233.07	4.44	4.43	0	0	0
32	a3be_19900101_fc0_32_SIM	00:00:30	01:49:34	24,542.93	4.38	4.36	0	0	0
33	a3be_19900101_fc0_33_SIM	00:38:14	02:07:47	28,623.47	3.76	2.89	0	0	0
34	a3be_19900101_fc0_34_SIM	00:01:51	01:48:15	24,248.00	4.43	4.36	0	0	0
35	a3be_19900101_fc0_35_SIM	00:00:06	01:51:56	25,073.07	4.29	4.28	0	0	0
36	a3be_19900101_fc0_36_SIM	00:00:10	01:54:19	25,606.93	4.20	4.19	0	0	0
37	a3be_19900101_fc0_37_SIM	00:00:15	01:54:01	25,539.73	4.21	4.20	0	0	0
38	a3be_19900101_fc0_38_SIM	00:00:13	01:54:44	25,700.27	4.18	4.18	0	0	0
39	a3be_19900101_fc0_39_SIM	00:00:16	01:45:37	23,658.13	4.54	4.53	0	0	0
40	a3be_19900101_fc0_40_SIM	00:06:43	02:01:25	27,197.33	3.95	3.75	0	0	0
41	a3be_19900101_fc0_41_SIM	03:35:17	02:04:53	27,973.87	3.84	1.41	0	0	0
42	a3be_19900101_fc0_42_SIM	00:00:07	01:58:14	26,484.27	4.06	4.06	0	0	0
43	a3be_19900101_fc0_43_SIM	00:03:44	01:55:50	25,946.67	4.14	4.01	0	0	0
44	a3be_19900101_fc0_44_SIM	00:02:17	01:53:36	25,446.40	4.23	4.14	0	0	0
45	a3be_19900101_fc0_45_SIM	00:00:40	01:56:48	26,163.20	4.11	4.09	0	0	0
46	a3be_19900101_fc0_46_SIM	00:00:08	01:57:31	26,323.73	4.08	4.08	0	0	0
47	a3be_19900101_fc0_47_SIM	00:00:05	01:59:47	26,831.47	4.01	4.00	0	0	0
48	a3be_19900101_fc0_48_SIM	00:00:08	01:52:22	25,170.13	4.27	4.27	0	0	0
49	a3be_19900101_fc0_49_SIM	00:00:45	01:57:24	26,297.60	4.09	4.06	0	0	0
51	a3be_19900101_fc0_51_SIM	00:01:20	02:16:22	30,546.13	3.52	3.49	0	0	0
52	a3be_19900101_fc0_52_SIM	00:06:01	02:03:49	27,734.93	3.88	3.70	0	0	0
53	a3be_19900101_fc0_53_SIM	00:02:00	01:59:40	26,805.33	4.01	3.95	0	0	0
54	a3be_19900101_fc0_54_SIM	00:04:27	01:58:14	26,484.27	4.06	3.91	0	0	0
55	a3be_19900101_fc0_55_SIM	00:04:00	01:54:10	25,573.33	4.20	4.06	0	0	0
56	a3be_19900101_fc0_56_SIM	00:01:29	01:59:16	26,715.73	4.02	3.98	0	0	0
57	a3be_19900101_fc0_57_SIM	00:00:59	01:58:12	26,476.80	4.06	4.03	0	0	0
58	a3be_19900101_fc0_58_SIM	00:03:38	01:52:07	25,114.13	4.28	4.15	0	0	0
59	a3be_19900101_fc0_59_SIM	00:02:39	02:02:46	27,499.73	3.91	3.83	0	0	0
60	a3be_19900101_fc0_60_SIM	00:47:53	02:16:24	30,553.60	3.52	2.60	0	0	0
61	a3be_19900101_fc0_61_SIM	00:03:42	02:07:56	28,657.07	3.75	3.65	0	0	0
62	a3be_19900101_fc0_62_SIM	00:02:36	02:12:50	29,754.67	3.61	3.54	0	0	0
63	a3be_19900101_fc0_63_SIM	00:02:51	02:02:45	27,496.00	3.91	3.82	0	0	0
64	a3be_19900101_fc0_64_SIM	00:01:27	01:58:57	26,644.80	4.04	3.99	0	0	0
65	a3be_19900101_fc0_65_SIM	00:04:14	02:04:45	27,944.00	3.85	3.72	0	0	0
66	a3be_19900101_fc0_66_SIM	00:01:12	02:05:29	28,108.27	3.83	3.79	0	0	0
67	a3be_19900101_fc0_67_SIM	00:02:15	01:58:19	26,502.93	4.06	3.98	0	0	0
68	a3be_19900101_fc0_68_SIM	00:02:54	02:10:00	29,120.00	3.69	3.61	0	0	0
69	a3be_19900101_fc0_69_SIM	00:02:25	02:03:30	27,664.00	3.89	3.81	0	0	0
70	a3be_19900101_fc0_70_SIM	00:04:25	02:04:56	27,985.07	3.84	3.71	0	0	0
71	a3be_19900101_fc0_71_SIM	00:01:59	01:58:43	26,592.53	4.04	3.98	0	0	0
72	a3be_19900101_fc0_72_SIM	00:04:35	02:21:52	31,778.13	3.38	3.28	0	0	0
73	a3be_19900101_fc0_73_SIM	00:01:06	02:01:02	27,111.47	3.97	3.93	0	0	0
74	a3be_19900101_fc0_74_SIM	00:04:00	02:03:31	27,667.73	3.89	3.76	0	0	0
75	a3be_19900101_fc0_75_SIM	00:03:57	02:00:17	26,943.47	3.99	3.86	0	0	0