date,tco319_mean2t_degC,tco399_mean2t_degC,diff_399_minus_319_degC
1990-01-15,11.985055,11.795970,-0.189085
1990-02-15,11.979270,11.949603,-0.029667
1990-03-15,12.984194,12.797811,-0.186383
1990-04-15,13.907000,13.688076,-0.218924
1990-05-15,14.699205,14.553648,-0.145557
1990-06-15,15.129713,15.192850,0.063137
1990-07-15,15.351492,15.456475,0.104983
1990-08-15,15.324881,15.226267,-0.098614
1990-09-15,14.593724,14.707859,0.114135
1990-10-15,13.628590,13.750879,0.122289
1990-11-15,12.610852,12.473676,-0.137177
1990-12-15,11.805044,11.602596,-0.202448
1991-01-15,11.351466,11.440326,0.088860
1991-02-15,11.918772,11.709321,-0.209451
1991-03-15,12.597915,12.560065,-0.037850
1991-04-15,13.659006,13.663211,0.004205
1991-05-15,14.680960,14.400184,-0.280776
1991-06-15,15.183609,15.118350,-0.065259
1991-07-15,15.492805,15.355582,-0.137223
1991-08-15,15.390075,15.140551,-0.249525
1991-09-15,14.671082,14.477398,-0.193685
1991-10-15,13.599950,13.461628,-0.138323
1991-11-15,12.503814,12.147272,-0.356541
1991-12-15,11.479214,11.138618,-0.340596
1992-01-15,11.058891,10.876066,-0.182826
1992-02-15,11.437156,11.465812,0.028656
1992-03-15,12.364857,12.272863,-0.091994
1992-04-15,13.149535,13.193390,0.043855
1992-05-15,14.028080,13.908719,-0.119361
1992-06-15,14.645609,14.574255,-0.071354
1992-07-15,14.829468,14.741139,-0.088328
1992-08-15,14.722504,14.715874,-0.006630
1992-09-15,13.951666,14.118712,0.167046
1992-10-15,12.762453,12.909806,0.147352
1992-11-15,11.623279,11.774481,0.151202
1992-12-15,10.736653,11.148621,0.411968
1993-01-15,10.602635,10.908501,0.305866
1993-02-15,11.064351,11.315555,0.251205
1993-03-15,12.008144,12.071124,0.062980
1993-04-15,13.118361,12.983809,-0.134551
1993-05-15,13.842177,13.977626,0.135450
1993-06-15,14.520237,14.529927,0.009690
1993-07-15,14.901908,14.911789,0.009881
1993-08-15,14.831356,14.625156,-0.206200
1993-09-15,14.034748,14.025364,-0.009384
1993-10-15,12.889336,13.072266,0.182930
1993-11-15,11.583313,11.586365,0.003052
1993-12-15,10.789345,10.816845,0.027500
1994-01-15,10.690517,10.905515,0.214999
1994-02-15,10.985940,11.251843,0.265903
1994-03-15,11.814145,12.007707,0.193562
1994-04-15,13.013102,13.267010,0.253908
1994-05-15,13.910007,14.096724,0.186716
1994-06-15,14.590912,14.657143,0.066231
1994-07-15,14.976526,14.848577,-0.127950
1994-08-15,14.749536,14.728909,-0.020627
1994-09-15,14.131197,14.056297,-0.074901
1994-10-15,12.794153,13.029637,0.235484
1994-11-15,11.432459,11.755716,0.323258
1994-12-15,10.932000,10.860488,-0.071512
1995-01-15,10.904565,10.642459,-0.262106
1995-02-15,11.308965,11.063718,-0.245247
1995-03-15,12.075452,11.944306,-0.131146
1995-04-15,13.102694,13.199818,0.097125
1995-05-15,13.936010,14.119779,0.183768
1995-06-15,14.528607,14.631590,0.102983
1995-07-15,14.956091,14.974440,0.018349
1995-08-15,14.737201,14.962293,0.225092
1995-09-15,14.040081,14.269349,0.229269
1995-10-15,12.904492,13.088232,0.183740
1995-11-15,11.568815,11.959441,0.390626
1995-12-15,10.696055,11.139408,0.443353
1996-01-15,10.752098,10.820870,0.068772
1996-02-15,11.058597,11.309651,0.251054
1996-03-15,11.973756,12.275444,0.301688
1996-04-15,13.085413,13.169640,0.084226
1996-05-15,13.936025,14.084194,0.148169
1996-06-15,14.452427,14.690789,0.238362
1996-07-15,14.863956,15.124004,0.260048
1996-08-15,15.010886,15.087734,0.076847
1996-09-15,14.181045,14.331161,0.150116
1996-10-15,13.124815,13.153180,0.028365
1996-11-15,12.060668,11.918300,-0.142368
1996-12-15,11.188446,11.124757,-0.063689
1997-01-15,10.855975,11.110319,0.254344
1997-02-15,11.455642,11.414069,-0.041574
1997-03-15,12.425651,12.068262,-0.357389
1997-04-15,13.457499,13.214642,-0.242857
1997-05-15,14.282915,14.141900,-0.141015
1997-06-15,14.985458,14.909061,-0.076397
1997-07-15,15.388179,15.161800,-0.226378
1997-08-15,15.405173,14.904859,-0.500314
1997-09-15,14.710552,14.343095,-0.367456
1997-10-15,13.563962,13.144951,-0.419012
1997-11-15,12.276812,11.887155,-0.389657
1997-12-15,11.422921,11.122599,-0.300322
1998-01-15,11.430842,11.051790,-0.379053
1998-02-15,11.681936,11.220117,-0.461819
1998-03-15,12.677279,12.204180,-0.473098
1998-04-15,13.575339,13.098992,-0.476347
1998-05-15,14.547910,14.132534,-0.415376
1998-06-15,15.195500,14.785576,-0.409924
1998-07-15,15.355039,15.061208,-0.293831
1998-08-15,15.285870,14.996059,-0.289812
1998-09-15,14.618374,14.330611,-0.287763
1998-10-15,13.494876,13.204784,-0.290092
1998-11-15,12.078664,11.864884,-0.213780
1998-12-15,11.227328,11.138994,-0.088335
1999-01-15,11.017437,10.912594,-0.104843
1999-02-15,11.513555,11.449773,-0.063782
1999-03-15,12.364420,12.101782,-0.262638
1999-04-15,13.346484,13.173981,-0.172503
1999-05-15,14.105385,14.069257,-0.036128
1999-06-15,14.687976,14.771410,0.083434
1999-07-15,15.247962,15.035391,-0.212571
1999-08-15,14.923477,15.068422,0.144946
1999-09-15,14.318613,14.371283,0.052670
1999-10-15,13.220793,13.295268,0.074475
1999-11-15,11.780147,11.749633,-0.030514
1999-12-15,10.903797,10.852842,-0.050955
2000-01-15,10.991040,10.833436,-0.157603
2000-02-15,11.553484,11.226654,-0.326830
2000-03-15,12.259514,12.020227,-0.239288
2000-04-15,13.433872,13.191357,-0.242516
2000-05-15,14.168038,14.072809,-0.095229
2000-06-15,14.834305,14.674502,-0.159804
2000-07-15,15.060621,15.062037,0.001416
2000-08-15,15.121287,15.002262,-0.119025
2000-09-15,14.473171,14.292563,-0.180608
2000-10-15,13.448984,13.218109,-0.230875
2000-11-15,12.313023,12.025132,-0.287891
2000-12-15,11.541476,11.186314,-0.355162
2001-01-15,11.217971,10.966235,-0.251736
2001-02-15,11.684761,11.399818,-0.284943
2001-03-15,12.594958,12.419587,-0.175371
2001-04-15,13.665379,13.586327,-0.079052
2001-05-15,14.420198,14.309443,-0.110754
2001-06-15,15.044655,14.874351,-0.170304
2001-07-15,15.294164,15.121259,-0.172905
2001-08-15,15.288305,15.016439,-0.271867
2001-09-15,14.545728,14.355750,-0.189978
2001-10-15,13.404868,13.395517,-0.009351
2001-11-15,12.072135,12.022376,-0.049759
2001-12-15,11.253839,11.095431,-0.158408
2002-01-15,11.074915,10.949697,-0.125218
2002-02-15,11.429067,11.404847,-0.024220
2002-03-15,12.297228,12.105677,-0.191551
2002-04-15,13.372001,13.467724,0.095723
2002-05-15,14.399998,14.358373,-0.041625
2002-06-15,15.036973,14.906996,-0.129977
2002-07-15,15.301513,15.212498,-0.089015
2002-08-15,15.255586,15.122922,-0.132664
2002-09-15,14.517015,14.224683,-0.292331
2002-10-15,13.282574,13.068119,-0.214455
2002-11-15,12.179556,11.826545,-0.353011
2002-12-15,11.532259,10.883372,-0.648887
2003-01-15,11.340789,10.654163,-0.686626
2003-02-15,11.779666,11.270513,-0.509153
2003-03-15,12.713205,12.303664,-0.409540
2003-04-15,13.759824,13.229612,-0.530211
2003-05-15,14.621149,14.165922,-0.455226
2003-06-15,15.317064,14.823680,-0.493385
2003-07-15,15.528286,15.136524,-0.391762
2003-08-15,15.446413,15.035814,-0.410599
2003-09-15,14.777325,14.327915,-0.449411
2003-10-15,13.579166,13.187204,-0.391962
2003-11-15,12.395785,11.870098,-0.525687
2003-12-15,11.674867,11.313206,-0.361662
2004-01-15,11.385197,10.888549,-0.496648
2004-02-15,11.813166,11.332707,-0.480459
2004-03-15,12.738462,12.010661,-0.727801
2004-04-15,13.736441,13.256219,-0.480222
2004-05-15,14.706821,14.120533,-0.586288
2004-06-15,15.314551,14.769410,-0.545140
2004-07-15,15.635006,15.192480,-0.442526
2004-08-15,15.451355,15.128027,-0.323328
2004-09-15,14.700001,14.368951,-0.331049
2004-10-15,13.643459,12.949616,-0.693844
2004-11-15,12.423768,11.833530,-0.590238
2004-12-15,11.501296,10.940288,-0.561007
2005-01-15,11.498604,10.672098,-0.826506
2005-02-15,12.055491,11.224471,-0.831020
2005-03-15,12.832431,12.206723,-0.625708
2005-04-15,13.896250,13.293953,-0.602297
2005-05-15,14.510641,14.215078,-0.295563
2005-06-15,14.992963,14.805022,-0.187941
2005-07-15,15.083705,14.964613,-0.119092
2005-08-15,15.200596,14.924440,-0.276156
2005-09-15,14.571438,14.147909,-0.423529
2005-10-15,13.378846,13.060584,-0.318263
2005-11-15,11.951275,11.763512,-0.187763
2005-12-15,11.135697,10.881909,-0.253788
2006-01-15,11.021838,10.658310,-0.363528
2006-02-15,11.361723,11.157154,-0.204568
2006-03-15,12.308733,12.108119,-0.200614
2006-04-15,13.479212,13.075481,-0.403731
2006-05-15,14.288213,14.163853,-0.124360
2006-06-15,14.854470,14.545733,-0.308737
2006-07-15,15.074163,14.984447,-0.089716
2006-08-15,14.972184,14.868536,-0.103648
2006-09-15,14.539269,14.296602,-0.242667
2006-10-15,13.376672,13.010137,-0.366536
2006-11-15,12.142451,11.811313,-0.331138
2006-12-15,11.163731,11.094571,-0.069160
2007-01-15,10.756444,10.957162,0.200718
2007-02-15,11.309695,11.184145,-0.125550
2007-03-15,12.148217,12.053963,-0.094254
2007-04-15,13.300012,13.433506,0.133494
2007-05-15,14.036390,14.152291,0.115902
2007-06-15,14.682797,14.744398,0.061601
2007-07-15,14.897337,15.099494,0.202157
2007-08-15,14.927297,14.960424,0.033127
2007-09-15,14.412946,14.133628,-0.279318
2007-10-15,13.392384,12.959793,-0.432591
2007-11-15,12.232760,11.925508,-0.307252
2007-12-15,11.250120,11.045364,-0.204756
2008-01-15,11.206138,10.797460,-0.408678
2008-02-15,11.403271,11.209986,-0.193286
2008-03-15,12.364063,12.169619,-0.194444
2008-04-15,13.485714,13.267336,-0.218378
2008-05-15,14.309344,14.268876,-0.040468
2008-06-15,14.878555,14.725631,-0.152924
2008-07-15,15.070457,14.990430,-0.080027
2008-08-15,14.931580,14.834144,-0.097436
2008-09-15,14.401281,14.085496,-0.315785
2008-10-15,13.380814,13.028049,-0.352765
2008-11-15,12.178603,11.812011,-0.366593
2008-12-15,11.369542,10.960833,-0.408710
2009-01-15,11.037550,10.928011,-0.109539
2009-02-15,11.510833,11.380837,-0.129996
2009-03-15,12.473032,12.193972,-0.279061
2009-04-15,13.569886,13.245665,-0.324221
2009-05-15,14.314190,14.145702,-0.168488
2009-06-15,14.970033,14.782538,-0.187495
2009-07-15,15.324587,15.421442,0.096855
2009-08-15,15.279055,15.338111,0.059056
2009-09-15,14.559213,14.583072,0.023859
2009-10-15,13.431319,13.621994,0.190675
2009-11-15,12.088991,12.226825,0.137834
2009-12-15,11.274457,11.177112,-0.097344
2010-01-15,11.196533,11.108308,-0.088225
2010-02-15,11.626009,11.432819,-0.193190
2010-03-15,12.353568,12.205254,-0.148315
2010-04-15,13.491725,13.306084,-0.185641
2010-05-15,14.362887,14.347021,-0.015867
2010-06-15,14.994781,15.038095,0.043314
2010-07-15,15.141825,15.246642,0.104818
2010-08-15,14.991735,15.132608,0.140873
2010-09-15,14.197809,14.437174,0.239364
2010-10-15,13.227321,13.310092,0.082771
2010-11-15,11.947275,12.189981,0.242707
2010-12-15,11.154638,11.373151,0.218513
2011-01-15,10.830678,11.151179,0.320500
2011-02-15,11.587593,11.453096,-0.134497
2011-03-15,12.285545,12.383626,0.098081
2011-04-15,13.476875,13.525751,0.048876
2011-05-15,14.329227,14.391016,0.061789
2011-06-15,14.951628,14.972678,0.021049
2011-07-15,15.319324,15.181095,-0.138230
2011-08-15,15.289419,15.127242,-0.162177
2011-09-15,14.789055,14.417559,-0.371496
2011-10-15,13.601757,13.404967,-0.196791
2011-11-15,12.180975,12.158088,-0.022887
2011-12-15,11.391174,11.271665,-0.119509
2012-01-15,11.041220,11.063161,0.021941
2012-02-15,11.542961,11.463685,-0.079275
2012-03-15,12.491889,12.508567,0.016678
2012-04-15,13.563380,13.648148,0.084768
2012-05-15,14.311844,14.537006,0.225162
2012-06-15,14.939725,15.089180,0.149455
2012-07-15,15.357196,15.253688,-0.103508
2012-08-15,15.305015,15.136726,-0.168289
2012-09-15,14.624106,14.672872,0.048766
2012-10-15,13.766576,13.666831,-0.099745
2012-11-15,12.511410,12.318840,-0.192571
2012-12-15,11.562824,11.374346,-0.188478
2013-01-15,11.397271,11.176396,-0.220875
2013-02-15,11.706348,11.495558,-0.210791
2013-03-15,12.334047,12.385282,0.051235
2013-04-15,13.557128,13.503603,-0.053525
2013-05-15,14.567776,14.435433,-0.132343
2013-06-15,15.283588,15.008272,-0.275316
2013-07-15,15.444821,15.456943,0.012122
2013-08-15,15.257067,15.280402,0.023335
2013-09-15,14.599607,14.593022,-0.006585
2013-10-15,13.664135,13.290716,-0.373418
2013-11-15,12.487488,12.002060,-0.485428
2013-12-15,11.823219,11.377100,-0.446119
2014-01-15,11.537376,11.156473,-0.380903
2014-02-15,12.109768,11.393166,-0.716602
2014-03-15,13.017054,12.601263,-0.415791
2014-04-15,13.986259,13.480220,-0.506039
2014-05-15,14.874952,14.449686,-0.425266
2014-06-15,15.280474,15.048853,-0.231622
2014-07-15,15.545882,15.414058,-0.131825
2014-08-15,15.447517,15.422017,-0.025500
2014-09-15,14.743068,14.675852,-0.067216
2014-10-15,13.558168,13.648676,0.090508
2014-11-15,12.363242,12.383516,0.020274
2014-12-15,11.546151,11.497559,-0.048592
