time,TCO319_a3be_1200,TCO319_a3df_900,TCO399_a3bo_900,ERA5
1990-01-15,11.985055035896002,11.940835814441888,11.795970437023811,12.211669921875
1990-02-15,11.979270484282969,12.251130419379743,11.949603114804896,12.45428466796875
1990-03-15,12.98419385875267,12.8717426257053,12.797810989106097,13.481719970703125
1990-04-15,13.907000252263023,13.764341672634108,13.688075764632496,14.30889892578125
1990-05-15,14.699204968583482,14.470508735456216,14.553647964323583,15.2447509765625
1990-06-15,15.12971285915315,15.18996090704267,15.192849633035584,15.79833984375
1990-07-15,15.351491953075575,15.434085776936286,15.456474795611598,16.15142822265625
1990-08-15,15.3248808143195,15.180276770594864,15.226266514261587,15.945556640625
1990-09-15,14.593724245966124,14.693442057569845,14.707858968277796,15.215576171875
1990-10-15,13.628589778579794,13.633672633425666,13.750879201246448,14.2879638671875
1990-11-15,12.610852086823456,12.214245572593086,12.473675570512833,13.24981689453125
1990-12-15,11.80504364386824,11.463591916548731,11.602595909793573,12.515899658203125
1991-01-15,11.351466236077272,11.443868482004254,11.440325907726484,12.2760009765625
1991-02-15,11.918772334295037,11.585404453317969,11.709321250425054,12.6065673828125
1991-03-15,12.59791546398776,12.447097222926118,12.560065326110172,13.15594482421875
1991-04-15,13.65900600148988,13.503695325289565,13.66321063032376,14.23870849609375
1991-05-15,14.680959611960398,14.429488453377681,14.40018406438954,15.084716796875
1991-06-15,15.18360904385338,14.993189180564778,15.118350157964377,16.010498046875
1991-07-15,15.49280461977859,15.25633525606247,15.355581756820925,16.181671142578125
1991-08-15,15.390075229403275,15.06645177054842,15.140550538416354,15.971923828125
1991-09-15,14.671082240203418,14.54157173476805,14.477397697962223,15.24432373046875
1991-10-15,13.599950439824434,13.378582634016274,13.461627793094786,14.097869873046875
1991-11-15,12.503813927434408,12.100805113231786,12.147272457508393,13.01202392578125
1991-12-15,11.479213814158015,11.229067582932013,11.138617702045812,12.3282470703125
1992-01-15,11.058891400989788,10.955014871805929,10.876065522960099,12.23150634765625
1992-02-15,11.437156063799458,11.333515154492753,11.465811825264268,12.4786376953125
1992-03-15,12.36485745244041,12.118113129772269,12.272863259368288,13.1617431640625
1992-04-15,13.14953481893368,13.091589376004436,13.19339007525707,13.94189453125
1992-05-15,14.028079804716034,14.035439996110918,13.908718616918994,14.92254638671875
1992-06-15,14.64560914426113,14.537140563192489,14.574255030043446,15.659912109375
1992-07-15,14.829467565038575,14.778336691033738,14.741139351840465,15.7674560546875
1992-08-15,14.722503518204539,14.59488378983614,14.715873675948652,15.62335205078125
1992-09-15,13.951666061130064,14.036665489959242,14.118712034526615,14.8369140625
1992-10-15,12.762453352396088,13.075224658070775,12.909805697295837,13.84466552734375
1992-11-15,11.62327897019376,11.813629002527668,11.774481469516976,12.752532958984375
1992-12-15,10.736653157028703,11.245874318511559,11.148621067234027,12.202056884765625
1993-01-15,10.60263486375724,10.855035838112258,10.908501060120784,12.13409423828125
1993-02-15,11.064350610816254,11.07004346471903,11.315555249092503,12.420806884765625
1993-03-15,12.008144027538,12.024512997735314,12.07112406922196,13.0452880859375
1993-04-15,13.118360556568973,13.119808974970775,12.983809304796182,14.0355224609375
1993-05-15,13.842176829294013,13.92070897255716,13.977626472851284,14.96612548828125
1993-06-15,14.520236707044168,14.46691583079909,14.529926780130117,15.679931640625
1993-07-15,14.901908147288509,14.731007422460266,14.911788911853629,15.878753662109375
1993-08-15,14.831356264557712,14.762504124610397,14.625155939472242,15.7269287109375
1993-09-15,14.03474798385677,14.014037628875448,14.025364068554117,14.929443359375
1993-10-15,12.889336013452484,12.854854841856309,13.072266097320266,14.015960693359375
1993-11-15,11.583313459359752,11.778712268515202,11.586365173632922,12.82769775390625
1993-12-15,10.789345234384163,11.024102209120391,10.81684524843782,12.3125
1994-01-15,10.690516804329453,10.769121703598671,10.905515458962592,12.046142578125
1994-02-15,10.98594027484459,11.264329991520716,11.251842817120897,12.092987060546875
1994-03-15,11.814144774169373,12.065965986096634,12.00770702964318,12.990325927734375
1994-04-15,13.013102338944273,13.000727945690377,13.26701016458685,14.08087158203125
1994-05-15,13.910007283619317,13.848165859996053,14.09672376744762,14.912933349609375
1994-06-15,14.590912027734666,14.584700597512247,14.657143188780196,15.7286376953125
1994-07-15,14.976526206887039,14.812178753068073,14.84857663867687,15.954132080078125
1994-08-15,14.749535635719099,14.845751296170079,14.728908552850308,15.72705078125
1994-09-15,14.13119730530309,14.322096295561664,14.056296503155826,15.20758056640625
1994-10-15,12.794152970643117,13.114175022797061,13.029637304119168,14.154052734375
1994-11-15,11.432458731951215,11.784596491123883,11.75571624040606,13.120849609375
1994-12-15,10.932000450386377,10.878042913957833,10.860488437566309,12.393218994140625
1995-01-15,10.90456515029075,10.79762869117163,10.642459180889054,12.312591552734375
1995-02-15,11.30896548102612,11.09965338308056,11.063718084928913,12.79461669921875
1995-03-15,12.075451505665379,11.919220752455317,11.944305990651893,13.1732177734375
1995-04-15,13.102693569520511,12.998510616893592,13.199818429055957,14.24200439453125
1995-05-15,13.936010434587198,13.884666169124367,14.11977872499267,15.0262451171875
1995-06-15,14.528607218277974,14.593123034946643,14.631589901773282,15.896484375
1995-07-15,14.956090736497837,14.98067545834931,14.974439944978826,16.12481689453125
1995-08-15,14.737200756386565,14.92880020560699,14.96229306063617,16.004547119140625
1995-09-15,14.040080639207758,14.155967259453632,14.269349264508756,15.2454833984375
1995-10-15,12.904491549575104,13.052470623500048,13.088232045667269,14.25128173828125
1995-11-15,11.568815261110066,11.862698881017687,11.959440804924839,13.14599609375
1995-12-15,10.696055041921037,11.071920816771089,11.139407714347689,12.3248291015625
1996-01-15,10.752097549134268,11.032221792715935,10.820869647261398,12.082275390625
1996-02-15,11.058597128745191,11.191383300721668,11.30965064534299,12.50726318359375
1996-03-15,11.973755711441262,12.048080965162589,12.27544399807232,13.098602294921875
1996-04-15,13.085413492657267,13.162564422066035,13.169639505197628,14.016845703125
1996-05-15,13.936025082971923,14.11621082145723,14.08419420871265,14.894195556640625
1996-06-15,14.452427124744304,14.80707973535175,14.690789157043545,15.666778564453125
1996-07-15,14.863956484695299,15.21034506815488,15.124004382391794,16.0224609375
1996-08-15,15.01088635195049,14.985554139114319,15.087733634499235,15.99981689453125
1996-09-15,14.181045456541105,14.24357635448689,14.331161046695607,15.11846923828125
1996-10-15,13.12481482465133,13.188582938537024,13.153180240560346,14.005889892578125
1996-11-15,12.060668411416335,11.912920897578223,11.918300191623493,13.1507568359375
1996-12-15,11.188445587626992,11.023426415538438,11.12475667675028,12.41925048828125
